account_id,algorithm,version,created_date,target_date
16023,hmm,none,2015-05-17,2015-05-15
16023,hmm,none,2015-05-18,2015-05-16
16023,hmm,none,2015-05-18,2015-05-17
1373,hmm,none,2015-05-16,2015-05-15
1373,hmm,none,2015-05-17,2015-05-16
1373,hmm,none,2015-05-18,2015-05-17
16796,hmm,none,2015-05-17,2015-05-15
19785,hmm,none,2015-05-17,2015-05-15
19785,hmm,none,2015-05-18,2015-05-16
19785,hmm,none,2015-05-18,2015-05-17
16020,hmm,none,2015-05-17,2015-05-15
16020,hmm,none,2015-05-17,2015-05-16
16020,hmm,none,2015-05-18,2015-05-17
19790,hmm,none,2015-05-17,2015-05-15
19790,hmm,none,2015-05-18,2015-05-16
19790,hmm,none,2015-05-18,2015-05-17
19788,hmm,none,2015-05-16,2015-05-15
19788,hmm,none,2015-05-18,2015-05-17
19789,hmm,none,2015-05-17,2015-05-15
19789,hmm,none,2015-05-17,2015-05-16
19789,hmm,none,2015-05-18,2015-05-17
18689,hmm,none,2015-05-18,2015-05-15
18689,hmm,none,2015-05-18,2015-05-16
18689,hmm,none,2015-05-18,2015-05-17
16790,hmm,none,2015-05-16,2015-05-15
17883,hmm,none,2015-05-16,2015-05-15
17883,hmm,none,2015-05-17,2015-05-16
17883,wupang,wupang_backup_for_hmm,2015-05-18,2015-05-17
15057,hmm,none,2015-05-17,2015-05-15
18697,hmm,none,2015-05-18,2015-05-17
19802,hmm,none,2015-05-16,2015-05-15
19802,hmm,none,2015-05-17,2015-05-16
18707,hmm,none,2015-05-16,2015-05-15
18707,hmm,none,2015-05-18,2015-05-17
16775,hmm,none,2015-05-18,2015-05-16
16775,hmm,none,2015-05-18,2015-05-17
18719,hmm,none,2015-05-17,2015-05-15
18719,hmm,none,2015-05-17,2015-05-16
19795,hmm,none,2015-05-17,2015-05-15
19795,hmm,none,2015-05-17,2015-05-16
19795,hmm,none,2015-05-18,2015-05-17
17866,hmm,none,2015-05-16,2015-05-15
17866,hmm,none,2015-05-18,2015-05-17
16771,hmm,none,2015-05-16,2015-05-15
16771,wupang,wupang_backup_for_hmm,2015-05-17,2015-05-16
16771,hmm,none,2015-05-18,2015-05-17
1346,hmm,none,2015-05-16,2015-05-15
1346,hmm,none,2015-05-18,2015-05-16
1346,hmm,none,2015-05-18,2015-05-17
18714,hmm,none,2015-05-16,2015-05-15
18714,hmm,none,2015-05-17,2015-05-16
18714,hmm,none,2015-05-18,2015-05-17
1347,hmm,none,2015-05-18,2015-05-16
1347,hmm,none,2015-05-18,2015-05-17
19816,hmm,none,2015-05-17,2015-05-15
19816,hmm,none,2015-05-18,2015-05-17
17905,wupang,wupang_backup_for_hmm,2015-05-17,2015-05-15
17905,wupang,wupang_backup_for_hmm,2015-05-18,2015-05-16
17905,wupang,wupang_backup_for_hmm,2015-05-18,2015-05-17
17909,hmm,none,2015-05-17,2015-05-15
17909,hmm,none,2015-05-17,2015-05-16
16820,hmm,none,2015-05-16,2015-05-15
16820,hmm,none,2015-05-18,2015-05-16
16820,wupang,wupang_backup_for_hmm,2015-05-17,2015-05-16
16820,hmm,none,2015-05-18,2015-05-17
19809,hmm,none,2015-05-16,2015-05-15
19809,hmm,none,2015-05-17,2015-05-16
19809,hmm,none,2015-05-18,2015-05-17
17917,hmm,none,2015-05-16,2015-05-15
15080,hmm,none,2015-05-17,2015-05-16
15080,hmm,none,2015-05-18,2015-05-17
17891,hmm,none,2015-05-18,2015-05-16
17891,wupang,wupang_backup_for_hmm,2015-05-18,2015-05-17
16814,hmm,none,2015-05-17,2015-05-15
16814,hmm,none,2015-05-18,2015-05-16
18738,hmm,none,2015-05-17,2015-05-15
18738,hmm,none,2015-05-18,2015-05-17
19838,hmm,none,2015-05-16,2015-05-15
19838,hmm,none,2015-05-17,2015-05-16
19838,hmm,none,2015-05-18,2015-05-17
19827,hmm,none,2015-05-18,2015-05-15
19827,hmm,none,2015-05-18,2015-05-16
19827,hmm,none,2015-05-18,2015-05-17
